y,x
-2.76,1.129
61.07,6.91
52.85,7.8374
-2.88,0.1335
59.05,9.2425
46.86,9.9926
41.27,5.4567
24.45,2.3628
49.92,7.7712
34.87,5.0911
50.08,5.8775
-1.20,1.0513
67.86,8.6587
50.11,6.95
35.59,4.8714
58.82,5.9794
24.57,4.7624
56.70,7.4212
24.66,2.3518
19.09,4.7791
62.00,8.1479
48.13,8.2098
37.17,5.446
56.27,8.4028
66.52,9.9014
37.02,6.0243
20.65,1.801
19.13,2.114
90.71,9.7829
18.38,2.5393
52.27,7.7541
22.65,3.796
20.58,3.6352
5.76,1.3574
25.45,3.5957
47.25,6.3027
-0.58,1.4334
1.65,1.3038
44.50,6.7741
62.76,7.5684
62.91,8.0215
54.52,9.1155
47.32,3.9302
57.24,8.1085
58.67,9.3468
-6.76,0.5072
17.74,1.2977
28.67,3.6825
69.51,8.4267
59.74,7.9714
38.04,5.2419
62.51,7.7572
56.47,4.7645
17.17,5.046
36.70,3.0467
23.50,3.4423
57.70,9.4111
16.92,1.37
1.11,3.3175
43.23,5.8115
56.70,8.9348
19.89,3.3399
72.15,9.772
11.45,1.3853
1.58,1.8349
65.23,9.4294
39.49,7.5832
58.68,8.7083
1.26,0.2425
2.03,0.1118
0.07,0.2649
52.91,8.1231
34.19,4.8438
34.95,4.2287
50.82,7.6338
61.19,6.6954
21.42,0.9757
14.00,2.0862
8.68,0.3009
0.69,0.5014
27.92,1.5692
39.87,6.4434
14.50,4.1531
51.66,4.9743
21.10,4.6788
54.71,9.5197
21.40,3.0384
66.13,8.176
56.81,8.8231
10.55,3.6867
29.83,4.8103
45.08,7.3403
27.99,5.6592
-3.42,1.9197
75.79,9.6312
57.89,7.6842
56.70,8.7167
70.34,9.6165
20.79,1.7477
59.02,8.3886
252.84,35.7834
